gezdqmygenes,1059.4609,5297.3045
geztcoagenes,1054.9179,5274.5895
geztmoagenes,2000.0184,10000.0920
geztsnygenes,80294.8726,401474.3630
ge2danqgenes,2299.0344,11495.1720
ge2dkmqgenes,3144.0637,15720.3185
ge2dknqgenes,12123.5016,60617.5080
ge2dmmigenes,12000.6846,60003.4230
ge2tanygenes,2325.1081,11625.5405
ge2tgmigenes,4609.3784,23046.8920
ge2tgnqgenes,1058.2992,5291.4960
ge2tonigenes,1497.1544,7485.7720
ge3dimqgenes,1388.8645,6944.3225
ge3dkmqgenes,3436.1035,17180.5175
ge3donigenes,3137.6228,15688.1140
ge3tgmagenes,1767.0261,8835.1305
ge3tqmigenes,1202.909,6014.5450
ge3tqoigenes,122255.15,611275.7500
ge4dgmigenes,1785.8799,8929.3995
ge4domygenes,3726.7334,18633.6670
ge4tanqgenes,2039.0821,10195.4105
ge4teoagenes,1040.3344,5201.6720
ge4teoigenes,2000.0809,10000.4045
ge4tkmagenes,3067.945,15339.7250
ge4tmnagenes,5729.707,28648.5350
ge4tomagenes,5000.0001,25000.0005
ge4tonagenes,1091.4992,5457.4960
ge4tqoagenes,38181.3345,190906.6725
ge4tsnagenes,17342.4665,86712.3325
ge4tsnqgenes,76632.6113,383163.0565
giydanqgenes,2023.3045,10116.5225
giydcoigenes,1408.2338,7041.1690
giydemagenes,4443.8998,22219.4990
giydgnqgenes,3867.8235,19339.1175
giydknygenes,374037.6397,1870188.1985
giydomygenes,1438.4051,7192.0255
giydsmygenes,10000.0699,50000.3495
giytamqgenes,6135.8899,30679.4495
giytcnygenes,9415.5178,47077.5890
giytgnigenes,6399.653,31998.2650
giytgoagenes,2532.7934,12663.9670
giytmmagenes,1503.6913,7518.4565
giytmmigenes,1140.0756,5700.3780
giytonygenes,5500.704,27503.5200
gizdaoigenes,1567.945,7839.7250
gizdenqgenes,1000,5000.0000
gizdgnagenes,4187.2609,20936.3045
gizdonqgenes,4228.8895,21144.4475
gizdqmqgenes,23006.5193,115032.5965
gizdqoagenes,80101.7032,400508.5160
giztanqgenes,1349.8958,6749.4790
giztemagenes,2146.8119,10734.0595
giztgmigenes,4034.0937,20170.4685
giztgmygenes,10656.7161,53283.5805
giztimigenes,9074.4294,45372.1470
giztinigenes,4576.7603,22883.8015
giztonagenes,2653.7724,13268.8620
giztooagenes,3000,15000.0000
gi2denagenes,18347.6698,91738.3490
gi2deoigenes,12900.7086,64503.5430
gi2dmmagenes,14250.8002,71254.0010
gi2dmmygenes,10004.6744,50023.3720
gi2donygenes,12578.5744,62892.8720
gi2dsnqgenes,4406.8797,22034.3985
gi2tamigenes,1045000.512,5225002.5600
gi2tcoigenes,1096.3,5481.5000
gi2timqgenes,73486.8221,367434.1105
gi2tioagenes,4703.8349,23519.1745
gi2tmmygenes,1500.1414,7500.7070
gi2tmnagenes,18772.7553,93863.7765
gi3damigenes,30000.2006,150001.0030
gi3dcnqgenes,225591.8883,1127959.4415
gi3dgnqgenes,1533.9725,7669.8625
gi3dgnygenes,234532.2361,1172661.1805
gi3dimygenes,30858.8994,154294.4970
gi3dinygenes,20822.3759,104111.8795
gi3dmnigenes,2586.4557,12932.2785
gi3dmoigenes,5306.7948,26533.9740
gi3dqnigenes,1171.006,5855.0300
gi3dqoagenes,6289.2872,31446.4360
gi3dsmigenes,3066.195,15330.9750
gi3tamygenes,3014.6487,15073.2435
gi3taoigenes,2563.1504,12815.7520
gi3temygenes,23109.5047,115547.5235
gi3tgmagenes,1118.9246,5594.6230
gi3tinagenes,5435.5466,27177.7330
gi3tkoagenes,3869.9351,19349.6755
gi3tqmygenes,1022.574,5112.8700
gi4dcnagenes,23344.353,116721.7650
gi4dcoigenes,4719.605,23598.0250
gi4denygenes,1227.1491,6135.7455
gi4dgnigenes,11746.9204,58734.6020
gi4dgnqgenes,1922.7411,9613.7055
gi4dkmigenes,3962.871,19814.3550
gi4dqnygenes,3764.1463,18820.7315
gi4dsnygenes,3266.1698,16330.8490
gi4tknagenes,23370.7536,116853.7680
gi4tmnagenes,15417.6809,77088.4045
gi4tqnagenes,1721.985,8609.9250
gi4tqoagenes,7736.7625,38683.8125
gi4tsnagenes,1380.5752,6902.8760
gi4tsnygenes,10800.3214,54001.6070
gmydamqgenes,1866.4249,9332.1245
gmydcnagenes,1023.4272,5117.1360
gmydcnigenes,3374.7395,16873.6975
gmydgnagenes,1503.9915,7519.9575
gmydimigenes,1228.7988,6143.9940
gmydinagenes,5964.0556,29820.2780
gmydkmqgenes,1047.267,5236.3350
gmydknigenes,2188.5541,10942.7705
gmydmmygenes,4739.975,23699.8750
gmydomqgenes,7370.3385,36851.6925
gmydomygenes,1954.0607,9770.3035
gmydonagenes,1508.4376,7542.1880
gmydsmagenes,2750.085,13750.4250
gmytamagenes,1601.4673,8007.3365
gmytaoagenes,5215.5065,26077.5325
gmytcoagenes,11662.615,58313.0750
gmytknqgenes,2721.3931,13606.9655
gmytmoigenes,5215.5065,26077.5325
gmytomqgenes,5634.96,28174.8000
gmytqmigenes,3825.3656,19126.8280
gmytqoagenes,16487.378,82436.8900
gmytsmagenes,1196.4985,5982.4925
gmytsnqgenes,4749.1788,23745.8940
gmytsoagenes,49087.1195,245435.5975
gmytsoigenes,41634,208170.0000
gmzdcmqgenes,14171.382,70856.9100
gmzdcmygenes,7239.3057,36196.5285
gmzdcoagenes,1881.5097,9407.5485
gmzdemagenes,5002.2412,25011.2060
gmzdenqgenes,1000,5000.0000
gmzdimagenes,1533.9725,7669.8625
gmzdimygenes,1055.9824,5279.9120
gmzdinigenes,2044.5684,10222.8420
gmzdioagenes,1518.0492,7590.2460
gmzdomygenes,10370.6956,51853.4780
gmztanqgenes,15345.4303,76727.1515
gmztemqgenes,1540.1084,7700.5420
gmztimqgenes,9203.8349,46019.1745
gmztioigenes,2317.6007,11588.0035
gmztmmqgenes,3408.487,17042.4350
gmztmmygenes,1253.9711,6269.8555
gmztomagenes,37237.2754,186186.3770
gmztomigenes,1000,5000.0000
gmztooigenes,3407.0001,17035.0005
gm2dcmigenes,1067.8301,5339.1505
gm2dcnqgenes,1294.5886,6472.9430
gm2dimygenes,9905.5996,49527.9980
gm2domygenes,1227.178,6135.8900
gm2dooagenes,3100.245,15501.2250
gm2dqoagenes,12900.0797,64500.3985
gm2dsmagenes,7056.2734,35281.3670
gm2tanigenes,29184.2233,145921.1165
gm2tcmagenes,1533.9725,7669.8625
gm2tenygenes,4519.3588,22596.7940
gm2tgmigenes,766986.2427,3834931.2135
gm2timygenes,1938.5044,9692.5220
gm2tioagenes,36748.2261,183741.1305
gm2tkoigenes,1533.9725,7669.8625
gm2tmmagenes,1020.5347,5102.6735
gm2tmmygenes,2228.151,11140.7550
gm2tqnygenes,1779.8663,8899.3315
gm3dcnqgenes,2093050.24,10465251.2000
gm3dgoigenes,2279.4519,11397.2595
gm3dinygenes,4041.0384,20205.1920
gm3dmnqgenes,1438.179,7190.8950
gm3dsnygenes,7868.2666,39341.3330
gm3tamygenes,4560.057,22800.2850
gm3tgmygenes,5237.6838,26188.4190
gm3tknygenes,1481.979,7409.8950
gm3tmmagenes,1437.0149,7185.0745
gm3tsmigenes,4215.3564,21076.7820
gm4daoigenes,2719.3194,13596.5970
gm4dcnagenes,5200,26000.0000
gm4demygenes,23001.4543,115007.2715
gm4denigenes,3333.0383,16665.1915
gm4donigenes,2139.9508,10699.7540
gm4dqoagenes,1001.1343,5005.6715
gm4dsmigenes,4500,22500.0000
gm4dsmqgenes,3000.7799,15003.8995
gm4tcoigenes,191784.1043,958920.5215
gm4tenygenes,3290.9303,16454.6515
gm4tgmagenes,12005.7495,60028.7475
gm4timagenes,2100.0041,10500.0205
gm4timygenes,1768.7302,8843.6510
gm4tknigenes,3865.0312,19325.1560
gm4tmmagenes,15734.9646,78674.8230
gm4tmmqgenes,7000.2,35001.0000
gm4tmnygenes,1227.692,6138.4600
gm4tonigenes,1380.5752,6902.8760
gm4tooigenes,12271.7799,61358.8995
gm4tqnygenes,6135.8899,30679.4495
gm4tsmigenes,4159.6999,20798.4995
gm4tsmqgenes,2336.3349,11681.6745
gqydamigenes,1282.2971,6411.4855
gqydamygenes,30004.8558,150024.2790
gqydcnagenes,2845.324,14226.6200
gqydgmigenes,1217.3265,6086.6325
gqydimqgenes,1160,5800.0000
gqydkoigenes,2845.8527,14229.2635
gqydmoigenes,4331.0615,21655.3075
gqydonqgenes,1428.0403,7140.2015
gqydsnygenes,1090.7326,5453.6630
gqydsoigenes,3000.991,15004.9550
gqytcnigenes,12885.3689,64426.8445
gqytcnygenes,2303.3382,11516.6910
gqytemagenes,1236.814,6184.0700
gqyteoagenes,1205.8678,6029.3390
gqytimigenes,1227.178,6135.8900
gqytimqgenes,37323.5239,186617.6195
gqytkmygenes,1071.3224,5356.6120
gqytknygenes,1233596.796,6167983.9800
gqytkoagenes,16679.4497,83397.2485
gqytmmigenes,1685.7106,8428.5530
gqytonagenes,6006.1151,30030.5755
gqytqmigenes,2632.4052,13162.0260
gqzdcnagenes,21359.0749,106795.3745
